image_path,target
/Users/macbook/Downloads/gestures to speech/Train/Images/L/88.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/52.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/178.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/14.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/92.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/O/119.jpg,14.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/8.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/67.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/95.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/42.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/105.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/146.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/121.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/124.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/150.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/29.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/136.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/147.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/91.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/47.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/72.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/171.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/163.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/57.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/11.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/65.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/60.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/117.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/35.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/161.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/0.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/67.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/138.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/168.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/156.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/61.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/69.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/3.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/135.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/171.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/30.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/83.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/36.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/53.jpg,1.0
